t_s,imu_roll_deg,imu_pitch_deg,motor_roll_pos_deg,motor_pitch_pos_deg
0.000,8.1353,8.0445,0.00,0.00
0.020,5.8470,8.6701,0.00,0.00
0.040,5.8470,8.6701,0.00,0.00
0.060,5.7688,8.3793,0.00,0.00
0.080,5.7688,8.3793,0.00,0.00
0.100,5.7688,8.3793,0.00,0.00
0.120,5.7299,8.1531,0.00,0.00
0.140,5.7299,8.1531,0.00,0.00
0.160,5.7761,8.3746,0.00,0.00
0.180,5.7761,8.3746,0.00,0.00
0.200,5.7761,8.3746,0.00,0.00
0.220,5.8182,8.6299,0.00,0.00
0.240,5.8182,8.6299,0.00,0.00
0.260,5.8134,8.7843,0.00,0.00
0.280,5.8134,8.7843,0.00,0.00
0.300,5.8134,8.7843,0.00,0.00
0.320,5.7905,8.8297,0.00,0.00
0.340,5.7905,8.8297,0.00,0.00
0.360,5.7780,8.7782,0.00,0.00
0.380,5.7780,8.7782,0.00,0.00
0.400,5.7780,8.7782,0.00,0.00
0.420,5.7625,8.6977,0.00,0.00
0.440,5.7625,8.6977,0.00,0.00
0.460,5.7335,8.6150,0.00,0.00
0.480,5.7335,8.6150,0.00,0.00
0.500,5.7335,8.6150,0.00,0.00
0.520,5.6999,8.5656,0.00,0.00
0.540,5.6999,8.5656,0.00,0.00
0.560,5.6811,8.5907,0.00,0.00
0.580,5.6811,8.5907,0.00,0.00
0.600,5.6811,8.5907,0.00,0.00
0.620,5.6926,8.6071,0.00,0.00
0.640,5.6926,8.6071,0.00,0.00
0.660,5.6876,8.5924,0.00,0.00
0.680,5.6876,8.5924,0.00,0.00
0.700,5.6876,8.5924,0.00,0.00
0.720,5.6761,8.5759,0.00,0.00
0.740,5.6761,8.5759,0.00,0.00
0.760,5.6642,8.6023,0.00,0.00
0.780,5.6642,8.6023,0.00,0.00
0.800,5.6642,8.6023,0.00,0.00
0.820,5.6548,8.6148,0.00,0.00
0.840,5.6548,8.6148,0.00,0.00
0.860,5.6503,8.5997,0.00,0.00
0.880,5.6503,8.5997,0.00,0.00
0.900,5.6503,8.5997,0.00,0.00
0.920,5.6433,8.5984,0.00,0.00
0.940,5.6433,8.5984,0.00,0.00
0.960,5.6351,8.6040,0.00,0.00
0.980,5.6351,8.6040,0.00,0.00
1.000,5.6351,8.6040,0.00,0.00
1.020,5.6339,8.6109,0.00,0.00
1.040,5.6339,8.6109,0.00,0.00
1.060,5.6281,8.6027,0.00,0.00
1.080,5.6281,8.6027,0.00,0.00
1.100,5.6281,8.6027,0.00,0.00
1.120,5.6339,8.6109,0.00,0.00
1.140,5.6339,8.6109,0.00,0.00
1.160,5.6274,8.6092,0.00,0.00
1.180,5.6274,8.6092,0.00,0.00
1.200,5.6274,8.6092,0.00,0.00
1.220,5.6192,8.6148,0.00,0.00
1.240,5.6192,8.6148,0.00,0.00
1.260,5.6084,8.5918,0.00,0.00
1.280,5.6084,8.5918,0.00,0.00
1.300,5.6084,8.5918,0.00,0.00
1.320,5.5829,8.4944,0.00,0.00
1.340,5.5829,8.4944,0.00,0.00
1.360,5.5549,8.4476,0.00,0.00
1.380,5.5549,8.4476,0.00,0.00
1.400,5.5549,8.4476,0.00,0.00
1.420,5.5869,8.5100,0.00,0.00
1.440,5.5869,8.5100,0.00,0.00
1.460,5.6149,8.5577,0.00,0.00
1.480,5.6149,8.5577,0.00,0.00
1.500,5.6149,8.5577,0.00,0.00
1.520,5.6116,8.5356,0.00,0.00
1.540,5.6116,8.5356,0.00,0.00
