t_s,roll_deg,cmd_roll_A,pitch_deg,cmd_pitch_A,imu2_roll_deg,imu2_pitch_deg,dt_ms
0.000,1.5234,-5.0000,0.7878,-5.0000,0.0057,-0.0040,0.01
0.020,1.5234,-0.3047,0.7878,-0.0788,0.0057,-0.0040,22.53
0.040,1.5234,-0.3047,0.7878,-0.0788,0.0057,-0.0040,20.07
0.060,1.6627,-0.5407,0.5793,0.2018,0.0057,-0.0040,20.08
0.080,1.6627,-0.3325,0.5793,-0.0579,0.0057,-0.0040,20.09
0.100,1.6640,-0.3348,0.5723,-0.0485,0.0057,-0.0040,20.07
0.120,1.6640,-0.3328,0.5723,-0.0572,0.0105,0.0269,20.07
0.140,1.6640,-0.3328,0.5723,-0.0572,0.0105,0.0269,20.06
0.160,1.6503,-0.3095,0.5697,-0.0537,0.4198,0.5083,20.09
0.180,1.6503,-0.3301,0.5697,-0.0570,0.4198,0.5083,20.07
0.200,1.6434,-0.3184,0.5685,-0.0554,0.4198,0.5083,20.07
0.220,1.6434,-0.3287,0.5685,-0.0568,0.4198,0.5083,20.09
0.240,1.6434,-0.3287,0.5685,-0.0568,0.4198,0.5083,20.08
0.260,1.6503,-0.3404,0.5697,-0.0585,0.4198,0.5083,20.08
0.280,1.6503,-0.3301,0.5697,-0.0570,0.4198,0.5083,20.09
0.300,1.6516,-0.3322,0.5629,-0.0479,0.4198,0.5083,20.08
0.320,1.6516,-0.3303,0.5629,-0.0563,0.3694,0.5097,20.08
0.340,1.6516,-0.3303,0.5629,-0.0563,0.3694,0.5097,20.07
0.360,1.6598,-0.3442,0.5573,-0.0488,0.3720,0.4650,20.07
0.380,1.6598,-0.3320,0.5573,-0.0557,0.3720,0.4650,20.09
0.400,1.6667,-0.3436,0.5585,-0.0573,0.3720,0.4650,20.08
0.420,1.6667,-0.3333,0.5585,-0.0559,0.4225,0.4636,20.07
0.440,1.6667,-0.3333,0.5585,-0.0559,0.4225,0.4636,20.07
0.460,1.6735,-0.3450,0.5598,-0.0576,0.4168,0.4676,20.07
0.480,1.6735,-0.3347,0.5598,-0.0560,0.4168,0.4676,20.09
0.500,1.6680,-0.3253,0.5517,-0.0450,0.4168,0.4676,20.07
0.520,1.6680,-0.3336,0.5517,-0.0552,0.4225,0.4636,20.09
0.540,1.6680,-0.3336,0.5517,-0.0552,0.4225,0.4636,20.07
0.560,1.6680,-0.3336,0.5517,-0.0552,0.4142,0.5123,20.08
0.580,1.6680,-0.3336,0.5517,-0.0552,0.4142,0.5123,20.09
0.600,1.6680,-0.3336,0.5516,-0.0550,0.4142,0.5123,20.07
0.620,1.6680,-0.3336,0.5516,-0.0552,0.4199,0.5083,20.09
0.640,1.6680,-0.3336,0.5516,-0.0552,0.4199,0.5083,20.07
0.660,1.6680,-0.3336,0.5516,-0.0552,0.4646,0.5109,20.07
0.680,1.6680,-0.3336,0.5516,-0.0552,0.4646,0.5109,20.07
0.700,1.6693,-0.3358,0.5448,-0.0461,0.4646,0.5109,20.07
0.720,1.6693,-0.3339,0.5448,-0.0545,0.4646,0.5109,20.09
0.740,1.6693,-0.3339,0.5448,-0.0545,0.4646,0.5109,20.07
0.760,1.6706,-0.3361,0.5379,-0.0452,0.4199,0.5083,20.07
0.780,1.6706,-0.3341,0.5379,-0.0538,0.4199,0.5083,20.08
0.800,1.6761,-0.3436,0.5461,-0.0648,0.4199,0.5083,20.07
0.820,1.6761,-0.3352,0.5461,-0.0546,0.4199,0.5083,20.10
0.840,1.6761,-0.3352,0.5461,-0.0546,0.4199,0.5083,20.07
