t_s,roll_deg,roll_erpm,cmd_roll_A,pitch_deg,pitch_erpm,cmd_pitch_A,imu2_roll_deg,imu2_pitch_deg,roll_volt,pitch_volt,dt_ms
0.000,0.3914,0,-0.0783,2.0490,0,-0.2049,0.0000,0.0000,0.00,0.00,0.00
0.020,0.3914,0,-0.0783,2.0490,0,-0.2049,0.0000,0.0000,17.30,17.20,20.07
0.040,0.4194,0,-0.0839,2.0188,0,-0.2019,0.0000,0.0000,17.30,17.30,20.09
0.060,0.4194,0,-0.0839,2.0188,0,-0.2019,0.0000,0.0000,17.30,17.30,20.09
0.080,0.4194,5,-0.0839,2.0188,0,-0.2019,0.0000,0.0000,17.40,17.30,20.09
0.100,0.4646,0,-0.0958,2.0422,0,-0.2042,0.0000,0.0000,17.20,17.30,20.10
0.120,0.4646,42,-0.0929,2.0422,0,-0.2042,0.0000,0.0000,17.40,17.30,20.09
0.140,0.5087,27,-0.1257,2.0724,0,-0.2072,0.0000,0.0000,17.30,17.30,20.09
0.160,0.5087,37,-0.1172,2.0724,0,-0.2072,0.0000,0.0000,17.30,17.30,20.09
0.180,0.5087,20,-0.1229,2.0724,0,-0.2072,0.0000,0.0000,17.30,17.30,20.08
0.200,0.5304,5,-0.1175,2.0698,0,-0.2070,0.0000,0.0000,17.30,17.30,20.07
0.220,0.5304,1,-0.1089,2.0698,0,-0.2070,0.0000,0.0000,17.20,17.30,20.07
0.240,0.5124,3,-0.1031,2.0519,0,-0.2052,0.0000,0.0000,17.30,17.20,20.07
0.260,0.5124,3,-0.1042,2.0519,0,-0.2052,0.0000,0.0000,17.30,17.30,20.07
0.280,0.5124,15,-0.1042,2.0519,0,-0.2052,0.0000,0.0000,17.30,17.20,20.07
0.300,0.4754,10,-0.1037,2.0230,0,-0.2023,0.0000,0.0000,17.30,17.30,20.07
0.320,0.4754,27,-0.1008,2.0230,0,-0.2023,0.0000,0.0000,17.30,17.20,20.07
0.340,0.4127,58,-0.0980,1.9817,0,-0.1982,0.0000,0.0000,17.30,17.20,20.07
0.360,0.4127,144,-0.1157,1.9817,0,-0.1982,0.0000,0.0000,17.30,17.30,20.07
0.380,0.4127,472,-0.1648,1.9817,0,-0.1982,0.0000,0.0000,17.30,17.20,20.07
0.400,0.2944,543,-0.3286,1.9004,0,-0.1900,0.0000,0.0000,17.30,17.30,20.07
