t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,dt_ms
0.000,0.0397,-0.0,0.3900,0.0,-0.2305,5.3254,0,0,0.00,0.00,0.03
0.020,0.1017,-0.0,0.4006,0.0,-0.2305,5.3254,0,0,0.00,0.00,39.74
0.040,0.1017,-0.0,0.4006,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.07
0.060,0.1017,-0.0,0.4006,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.06
0.080,0.1017,-0.0,0.4006,0.0,-0.2292,5.3185,0,0,0.00,0.00,20.07
0.100,0.1017,-0.0,0.4006,0.0,-0.2292,5.3185,0,0,0.00,0.00,20.07
0.120,0.1029,-0.0,0.3937,0.0,-0.2292,5.3185,0,0,0.00,0.00,20.07
0.140,0.1029,-0.0,0.3937,0.0,-0.2292,5.3185,0,0,0.00,0.00,20.08
0.160,0.1029,-0.0,0.3937,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.09
0.180,0.1097,-0.0,0.3949,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.06
0.200,0.1097,-0.0,0.3949,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.10
0.220,0.1073,-0.0,0.4087,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.07
0.240,0.1073,-0.0,0.4087,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.08
0.260,0.1073,-0.0,0.4087,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.06
0.280,0.1154,-0.0,0.4030,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.07
0.300,0.1154,-0.0,0.4030,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.08
0.320,0.1223,-0.0,0.4041,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.07
0.340,0.1223,-0.0,0.4041,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.08
0.360,0.1223,-0.0,0.4041,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.06
0.380,0.1223,-0.0,0.4041,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.07
0.400,0.1223,-0.0,0.4041,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.09
0.420,0.1211,-0.0,0.4110,0.0,-0.2315,5.3322,0,0,0.00,0.00,20.07
0.440,0.1211,-0.0,0.4110,0.0,-0.2315,5.3322,0,0,0.00,0.00,20.08
0.460,0.1211,-0.0,0.4110,0.0,-0.2302,5.3253,0,0,0.00,0.00,20.07
0.480,0.1211,-0.0,0.4110,0.0,-0.2302,5.3253,0,0,0.00,0.00,20.07
0.500,0.1211,-0.0,0.4110,0.0,-0.2302,5.3253,0,0,0.00,0.00,20.09
0.520,0.1223,-0.0,0.4041,0.0,-0.2302,5.3253,0,0,0.00,0.00,20.07
0.540,0.1223,-0.0,0.4041,0.0,-0.2302,5.3253,0,0,0.00,0.00,20.07
0.560,0.1223,-0.0,0.4041,0.0,-0.2315,5.3322,0,0,0.00,0.00,20.06
