t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,i_roll_erpm,i_pitch_erpm,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,-0.0553,3.8775,-0.0028,0.3325,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1163.2,0,0,0.000,0.000,0.01,
0.0050,-0.0398,3.8755,0.0432,0.1859,0.000,0.000,0.090,-0.045,0.0,0.3,0.0,0.0,0.0,0.0,-0.0,1162.9,0,0,0.000,0.000,36.00,
0.0100,-0.0398,3.8755,0.0432,0.1859,0.000,0.000,0.143,-0.072,0.0,0.4,0.0,0.0,0.0,0.0,-0.0,1163.1,0,1152,0.200,0.840,17.38,
0.0150,-0.0398,3.8755,0.0432,0.1859,0.000,0.000,0.175,-0.088,0.0,0.5,0.0,0.0,0.0,0.0,-0.0,1163.1,0,1038,0.210,0.490,5.08,
0.0200,-0.0398,3.8755,0.0432,0.1859,0.000,0.000,0.195,-0.097,0.0,0.5,0.0,0.0,0.0,0.0,-0.0,1163.1,0,845,0.220,0.310,5.08,
0.0250,-0.0398,3.8755,0.0432,0.1859,0.000,0.000,0.206,-0.103,0.0,0.5,0.0,0.0,0.0,0.0,-0.0,1163.2,0,809,0.190,1.150,5.08,
0.0300,-0.0398,3.8755,0.0432,0.1859,0.000,0.000,0.213,-0.107,0.0,0.6,0.0,0.0,0.0,0.0,-0.0,1163.2,0,913,0.230,0.950,5.08,
0.0350,-0.0398,3.8755,0.0432,0.1859,0.034,-0.369,0.218,-0.109,0.0,0.6,0.3,-3.7,0.0,0.0,-0.3,1159.6,0,964,0.220,0.810,7.26,
0.0400,-0.0398,3.8755,0.0499,0.1878,0.062,-0.683,0.220,-0.110,0.0,0.7,0.6,-6.8,0.0,0.0,-0.6,1156.5,0,962,0.210,1.020,5.87,
0.0450,-0.0398,3.8755,0.0499,0.1878,0.086,-0.950,0.222,0.024,0.0,0.7,0.9,-9.5,0.0,0.0,-0.9,1153.9,0,984,0.210,0.890,8.54,
0.0500,-0.0398,3.8755,0.0499,0.1878,0.107,-1.177,0.222,0.104,0.0,0.8,1.1,-11.8,0.0,0.0,-1.1,1151.7,0,1028,0.200,0.480,9.66,
0.0550,-0.0398,3.8755,0.0499,0.1878,0.125,-1.370,0.223,0.152,0.0,0.9,1.2,-13.7,0.0,0.0,-1.2,1149.8,0,1042,0.200,0.280,5.20,
