t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,i_roll_erpm,i_pitch_erpm,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,-0.3954,2.4096,-0.9475,0.9236,0.571,0.403,1.388,1.388,0.0,0.0,5.7,4.0,0.0,0.0,-5.7,726.9,0,0,0.000,0.000,0.01,
0.0050,-0.3954,2.4096,-0.9475,0.9236,1.056,0.074,2.220,2.220,0.0,0.2,10.6,0.7,0.0,0.0,-10.6,723.8,4,0,0.000,0.000,42.19,
0.0100,-0.3954,2.4096,-0.9475,0.9236,1.468,-0.206,2.720,2.720,0.0,0.2,14.7,-2.1,127.4,163.9,-142.1,884.9,10,52,0.000,0.680,5.30,
0.0150,-0.2938,2.4593,-0.9475,0.9236,1.819,-0.443,3.019,3.019,0.0,0.3,18.2,-4.4,161.0,207.0,-179.2,940.6,3,395,0.060,1.360,5.07,
0.0200,-0.2938,2.4593,-0.9475,0.9236,2.117,-0.646,3.199,3.199,0.0,0.3,21.2,-6.5,186.2,239.4,-207.4,971.0,-42,687,0.260,0.100,6.54,
0.0250,-0.2938,2.4593,-0.9475,0.9236,2.252,-0.952,3.307,3.307,0.0,0.3,22.5,-9.5,204.3,262.7,-226.8,991.3,-67,703,0.300,0.080,5.08,
0.0300,-0.2938,2.4593,-0.8621,0.9748,2.368,-1.212,3.372,3.372,0.0,0.3,23.7,-12.1,217.0,279.0,-240.7,1005.0,-73,672,0.350,0.430,6.56,
0.0350,-0.2938,2.4593,-0.8621,0.9748,2.466,-1.433,2.829,1.038,0.0,0.4,24.7,-14.3,209.4,204.8,-234.1,928.6,-77,757,0.460,0.800,8.02,
0.0400,-0.2938,2.4593,-0.8621,0.9748,2.549,-1.621,2.503,-0.362,0.0,0.4,25.5,-16.2,195.7,0.0,-221.2,722.0,-106,811,0.510,0.940,9.05,
0.0450,-0.2938,2.4593,-0.8621,0.9748,2.620,-1.780,2.308,-1.202,0.0,0.5,26.2,-17.8,182.1,0.0,-208.3,720.4,-112,803,0.470,0.980,5.09,
0.0500,-0.2938,2.4593,-0.8621,0.9748,2.680,-1.916,2.190,-1.706,0.0,0.5,26.8,-19.2,170.6,0.0,-197.4,719.1,-109,691,0.470,0.840,5.04,
0.0550,-0.2506,2.3243,-0.8621,0.9748,2.731,-2.032,2.120,-2.008,0.0,0.5,27.3,-20.3,161.7,0.0,-189.0,677.5,-105,587,0.480,1.250,5.06,
0.0600,-0.2506,2.3243,-0.8621,0.9748,2.775,-2.130,2.078,-2.190,0.0,0.5,27.7,-21.3,155.2,-139.4,-182.9,537.1,-109,617,0.480,1.500,5.78,
0.0650,-0.2506,2.3243,-0.8621,0.9748,2.644,-3.858,2.052,-2.299,0.0,0.6,26.4,-38.6,150.6,-166.4,-177.0,492.8,-117,657,0.420,1.020,5.07,
0.0700,-0.2506,2.3243,-0.8042,0.9679,2.533,-5.327,2.037,-2.364,0.0,0.6,25.3,-53.3,147.4,-184.9,-172.7,459.6,-142,550,0.310,0.530,7.10,
0.0750,-0.2506,2.3243,-0.8042,0.9679,2.438,-6.576,1.894,-2.493,0.0,0.6,24.4,-65.8,141.5,-200.7,-165.8,431.4,-163,505,0.180,0.530,9.17,
0.0800,-0.2506,2.3243,-0.8042,0.9679,2.358,-7.638,1.808,-2.570,0.0,0.7,23.6,-76.4,135.5,-212.9,-159.1,408.6,-156,512,0.100,0.180,9.50,
0.0850,-0.2506,2.3243,-0.8042,0.9679,2.290,-8.540,1.756,-2.616,0.0,0.7,22.9,-85.4,130.5,-221.9,-153.4,390.6,-147,475,0.120,0.070,5.02,
0.0900,-0.2506,2.3243,-0.8042,0.9679,2.231,-9.307,1.725,-2.644,0.0,0.7,22.3,-93.1,126.6,-228.4,-148.9,376.6,-142,450,0.100,0.050,5.23,
0.0950,-0.2139,1.6086,-0.8042,0.9679,2.182,-9.959,1.706,-2.661,0.0,0.7,21.8,-99.6,123.7,-232.8,-145.5,150.9,-143,437,0.070,0.000,5.04,
0.1000,-0.2139,1.6086,-0.8042,0.9679,1.855,-10.429,1.695,-2.671,0.0,0.8,18.5,-104.3,121.7,-235.8,-140.3,143.2,-144,410,0.050,0.030,7.03,
0.1050,-0.2139,1.6086,-0.7694,0.9404,1.577,-10.828,1.689,-2.677,0.0,0.8,15.8,-108.3,120.3,-237.9,-136.1,137.2,-140,307,0.070,0.200,6.17,
0.1100,-0.2139,1.6086,-0.7694,0.9404,1.340,-11.168,1.282,-2.591,0.0,0.8,13.4,-111.7,108.1,-236.0,-121.5,135.7,-132,180,0.120,0.040,10.53,
0.1150,-0.2139,1.6086,-0.7694,0.9404,1.139,-11.457,1.038,-2.539,0.0,0.8,11.4,-114.6,0.0,-233.0,-11.4,135.9,-140,189,0.080,0.130,8.55,
0.1200,-0.2139,1.6086,-0.7694,0.9404,0.968,-11.702,0.891,-2.508,0.0,0.9,9.7,-117.0,0.0,-230.1,-9.7,136.3,-144,196,0.000,0.110,5.06,
0.1250,-0.2139,1.6086,-0.7694,0.9404,0.823,-11.911,0.803,-2.490,0.0,0.9,8.2,-119.1,0.0,-227.7,-8.2,136.7,-117,201,0.170,0.100,5.09,
0.1300,-0.2408,1.1523,-0.7694,0.9404,0.700,-12.088,0.751,-2.479,0.0,0.9,7.0,-120.9,0.0,-225.8,-7.0,-0.2,-65,209,0.080,0.110,5.07,
0.1350,-0.2408,1.1523,-0.7694,0.9404,0.595,-12.239,0.719,-2.472,0.0,0.9,5.9,-122.4,0.0,-224.5,-5.9,-0.3,-47,221,0.010,0.090,8.10,
0.1400,-0.2408,1.1523,-0.7694,0.9404,0.371,-10.621,0.700,-2.468,0.0,0.9,3.7,-106.2,0.0,-223.5,-3.7,16.8,-56,188,0.060,0.140,5.07,
0.1450,-0.2408,1.1523,-0.7672,0.8751,0.181,-9.246,0.689,-2.466,0.0,0.9,1.8,-92.5,0.0,-222.9,-1.8,31.3,-42,52,0.080,0.130,11.13,
0.1500,-0.2408,1.1523,-0.7672,0.8751,0.020,-8.078,0.503,-2.330,0.0,1.0,0.2,-80.8,0.0,-217.6,-0.2,48.2,-33,49,0.030,0.260,5.07,
0.1550,-0.2408,1.1523,-0.7672,0.8751,-0.118,-7.084,0.391,-2.248,0.0,1.0,-1.2,-70.8,0.0,-211.5,1.2,64.3,-27,72,0.040,0.260,9.24,
0.1600,-0.2408,1.1523,-0.7672,0.8751,-0.234,-6.240,0.324,-2.200,0.0,1.0,-2.3,-62.4,0.0,-206.1,2.3,78.2,-23,72,0.040,0.270,5.07,
0.1650,-0.2408,1.1523,-0.7672,0.8751,-0.333,-5.522,0.284,-2.170,0.0,1.0,-3.3,-55.2,0.0,-201.8,3.3,89.7,-17,68,0.060,0.330,5.07,
0.1700,-0.2948,1.2219,-0.7672,0.8751,-0.418,-4.912,0.260,-2.153,0.0,1.0,-4.2,-49.1,0.0,-198.6,4.2,119.9,-8,62,0.020,0.390,5.07,
0.1750,-0.2948,1.2219,-0.7672,0.8751,-0.372,-3.319,0.245,-2.142,0.0,1.0,-3.7,-33.2,0.0,-196.2,3.7,138.2,-3,53,0.000,0.470,6.40,
0.1800,-0.2948,1.2219,-0.8106,0.8189,-0.333,-1.965,0.237,-2.136,0.0,1.0,-3.3,-19.7,0.0,-194.6,3.3,153.3,2,56,0.000,0.590,6.33,
0.1850,-0.2948,1.2219,-0.8106,0.8189,-0.300,-0.814,-0.126,-1.863,0.0,1.1,-3.0,-8.1,0.0,-183.9,3.0,175.6,4,72,0.000,0.670,8.79,
0.1900,-0.2948,1.2219,-0.8106,0.8189,-0.271,0.164,-0.344,-1.700,0.0,1.1,-2.7,1.6,0.0,-171.5,2.7,197.8,6,87,0.020,0.740,8.86,
0.1950,-0.2948,1.2219,-0.8106,0.8189,-0.248,0.995,-0.475,-1.602,0.0,1.1,-2.5,10.0,0.0,-160.6,2.5,217.0,8,92,0.020,0.850,5.07,
0.2000,-0.2948,1.2219,-0.8106,0.8189,-0.227,1.702,-0.554,-1.543,0.0,1.1,-2.3,17.0,0.0,-151.9,2.3,232.8,10,112,0.020,0.940,5.06,
0.2050,-0.3149,1.4451,-0.8106,0.8189,-0.210,2.303,-0.601,-1.508,0.0,1.1,-2.1,23.0,0.0,-145.4,2.1,312.3,11,141,0.030,0.960,5.06,
0.2100,-0.3149,1.4451,-0.8106,0.8189,-0.195,2.814,-0.629,-1.487,0.0,1.1,-2.0,28.1,0.0,-140.8,2.0,322.1,12,181,0.050,0.920,5.06,
0.2150,-0.3149,1.4451,-0.8106,0.8189,-0.166,1.955,-0.646,-1.474,0.0,1.2,-1.7,19.6,0.0,-137.5,1.7,316.7,11,212,0.030,1.080,5.06,
0.2200,-0.3149,1.4451,-0.8899,0.7889,-0.141,1.225,-0.656,-1.466,0.0,1.2,-1.4,12.3,0.0,-135.3,1.4,311.7,7,272,0.030,1.000,7.48,
0.2250,-0.3149,1.4451,-0.8899,0.7889,-0.120,0.605,-0.931,-1.283,0.0,1.2,-1.2,6.1,0.0,0.0,1.2,440.8,5,264,0.010,1.030,7.97,
0.2300,-0.3149,1.4451,-0.8899,0.7889,-0.102,0.078,-1.096,-1.172,0.0,1.2,-1.0,0.8,0.0,0.0,1.0,435.5,3,269,0.040,1.100,8.18,
