t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu2_roll_rate_dps,imu2_pitch_rate_dps,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms
0.0000,0.1130,0.3613,-0.4645,7.6176,0.000,-0.045,0.0,-0.7,-0.0,-0.7,0,0,0.000,0.000,0.01
0.0050,0.1130,0.3613,-0.4645,7.6176,0.000,-0.072,0.0,-1.1,-0.0,-1.1,0,0,0.000,0.000,41.26
0.0100,0.1130,0.3613,-0.4645,7.6176,0.000,-0.088,0.0,-1.3,-0.0,-1.3,0,0,0.160,0.270,5.67
0.0150,0.1130,0.3613,-0.4645,7.6176,0.000,-0.097,0.0,-1.5,-0.0,-1.5,0,0,0.190,0.290,5.08
0.0200,0.1199,0.3623,-0.4645,7.6176,0.000,-0.103,0.0,-1.5,-0.0,-1.5,0,0,0.190,0.300,5.08
0.0250,0.1199,0.3623,-0.4645,7.6176,0.000,-0.107,0.0,-1.6,-0.0,-1.6,0,0,0.190,0.280,5.77
0.0300,0.1199,0.3623,-0.4645,7.6176,0.000,-0.109,0.0,-1.6,-0.0,-1.6,0,0,0.190,0.280,6.25
0.0350,0.1199,0.3623,-0.4654,7.6172,0.000,-0.110,0.0,-1.7,-0.0,-1.7,0,0,0.200,0.280,7.75
0.0400,0.1199,0.3623,-0.4654,7.6172,0.045,-0.066,1.3,-1.0,-1.3,-1.0,0,0,0.190,0.300,5.06
0.0450,0.1199,0.3623,-0.4654,7.6172,0.072,-0.040,2.1,-0.6,-2.1,-0.6,0,0,0.190,0.270,8.86
0.0500,0.1199,0.3623,-0.4654,7.6172,0.088,-0.024,2.6,-0.4,-2.6,-0.4,0,0,0.180,0.270,5.08
0.0550,0.1199,0.3623,-0.4654,7.6172,0.097,-0.014,2.9,-0.2,-2.9,-0.2,0,0,0.210,0.270,5.07
0.0600,0.1199,0.3623,-0.4654,7.6172,0.103,-0.009,3.1,-0.1,-3.1,-0.1,0,0,0.230,0.280,5.08
0.0650,0.1199,0.3623,-0.4654,7.6172,0.107,-0.005,3.2,-0.1,-3.2,-0.1,0,0,0.210,0.280,6.57
0.0700,0.1199,0.3623,-0.4654,7.6172,0.109,-0.003,3.3,-0.0,-3.3,-0.0,0,0,0.210,0.290,5.08
0.0750,0.1199,0.3623,-0.4682,7.6672,0.110,-0.002,3.3,-0.0,-3.3,-0.0,0,0,0.220,0.280,10.40
0.0800,0.1199,0.3623,-0.4682,7.6672,0.021,-0.001,0.6,-0.0,-0.6,-0.0,0,0,0.220,0.280,5.07
0.0850,0.1199,0.3623,-0.4682,7.6672,-0.032,-0.001,-1.0,-0.0,1.0,-0.0,0,0,0.240,0.290,6.99
0.0900,0.1199,0.3623,-0.4682,7.6672,-0.064,-0.000,-1.9,-0.0,1.9,-0.0,0,0,0.240,0.280,5.06
0.0950,0.1199,0.3623,-0.4682,7.6672,-0.083,-0.000,-2.5,-0.0,2.5,-0.0,0,0,0.230,0.290,5.06
0.1000,0.1199,0.3623,-0.4682,7.6672,-0.095,-0.000,-2.8,-0.0,2.8,-0.0,0,0,0.220,0.290,5.07
0.1050,0.1199,0.3623,-0.4682,7.6672,-0.102,-0.000,-3.0,-0.0,3.0,-0.0,0,0,0.220,0.280,6.62
0.1100,0.1199,0.3623,-0.4682,7.6672,-0.106,-0.000,-3.2,-0.0,3.2,-0.0,0,0,0.210,0.280,5.07
0.1150,0.1199,0.3623,-0.4703,7.6158,-0.108,-0.000,-3.2,-0.0,3.2,-0.0,0,0,0.190,0.290,9.81
0.1200,0.1199,0.3623,-0.4703,7.6158,-0.110,-0.000,-3.3,-0.0,3.3,-0.0,0,0,0.200,0.300,5.06
0.1250,0.1199,0.3623,-0.4703,7.6158,-0.111,-0.000,-3.3,-0.0,3.3,-0.0,0,0,0.200,0.270,8.84
0.1300,0.1199,0.3623,-0.4703,7.6158,-0.111,-0.000,-3.3,-0.0,3.3,-0.0,0,0,0.190,0.270,5.08
0.1350,0.1199,0.3623,-0.4703,7.6158,-0.111,-0.000,-3.3,-0.0,3.3,-0.0,0,0,0.210,0.280,5.08
0.1400,0.1199,0.3623,-0.4703,7.6158,-0.112,-0.000,-3.3,-0.0,3.3,-0.0,0,0,0.190,0.280,5.08
0.1450,0.1199,0.3623,-0.4703,7.6158,-0.112,-0.000,-3.4,-0.0,3.4,-0.0,0,0,0.200,0.280,5.58
0.1500,0.1199,0.3623,-0.4703,7.6158,-0.112,-0.000,-3.4,-0.0,3.4,-0.0,0,0,0.200,0.280,5.06
0.1550,0.1199,0.3623,-0.4684,7.6160,-0.112,-0.000,-3.4,-0.0,3.4,-0.0,0,0,0.190,0.270,5.13
0.1600,0.1199,0.3623,-0.4684,7.6160,-0.022,0.045,-0.7,0.7,0.7,0.7,0,0,0.180,0.270,7.70
0.1650,0.1199,0.3623,-0.4684,7.6160,0.031,0.072,0.9,1.1,-0.9,1.1,0,0,0.190,0.280,8.85
0.1700,0.1199,0.3623,-0.4684,7.6160,0.064,0.088,1.9,1.3,-1.9,1.3,0,0,0.170,0.280,5.07
0.1750,0.1199,0.3623,-0.4684,7.6160,0.083,0.097,2.5,1.5,-2.5,1.5,0,0,0.180,0.260,5.07
0.1800,0.1199,0.3623,-0.4684,7.6160,0.095,0.103,2.8,1.5,-2.8,1.5,0,0,0.190,0.140,5.07
0.1850,0.1199,0.3623,-0.4684,7.6160,0.101,0.107,3.0,1.6,-3.0,1.6,0,0,0.210,0.280,5.53
0.1900,0.1199,0.3623,-0.4684,7.6160,0.106,0.109,3.2,1.6,-3.2,1.6,0,0,0.190,0.290,5.07
0.1950,0.1199,0.3623,-0.4173,7.6271,0.108,0.110,3.2,1.7,-3.2,1.7,0,0,0.200,0.280,6.57
0.2000,0.1199,0.3623,-0.4173,7.6271,0.110,0.111,3.3,1.7,-3.3,1.7,0,0,0.210,0.280,6.84
0.2050,0.1199,0.3623,-0.4173,7.6271,0.111,0.111,3.3,1.7,-3.3,1.7,0,0,0.210,0.290,5.08
0.2100,0.1199,0.3623,-0.4173,7.6271,0.111,0.111,3.3,1.7,-3.3,1.7,0,0,0.210,0.270,8.85
0.2150,0.1199,0.3623,-0.4173,7.6271,0.111,0.112,3.3,1.7,-3.3,1.7,0,0,0.230,0.280,5.06
0.2200,0.1199,0.3623,-0.4173,7.6271,0.112,0.112,3.3,1.7,-3.3,1.7,0,0,0.210,0.270,5.07
0.2250,0.1268,0.3632,-0.4173,7.6271,0.112,0.112,3.4,1.7,-3.4,1.7,0,0,0.230,0.270,5.08
0.2300,0.1268,0.3632,-0.4173,7.6271,0.112,0.112,3.4,1.7,-3.4,1.7,0,0,0.220,0.280,5.74
0.2350,0.1268,0.3632,-0.4173,7.6271,0.112,0.112,3.4,1.7,-3.4,1.7,0,0,0.220,0.280,5.39
0.2400,0.1268,0.3632,-0.4199,7.6187,0.112,0.112,3.4,1.7,-3.4,1.7,0,0,0.220,0.260,5.09
0.2450,0.1268,0.3632,-0.4199,7.6187,0.067,0.112,2.0,1.7,-2.0,1.7,0,0,0.230,0.270,8.96
0.2500,0.1268,0.3632,-0.4199,7.6187,0.040,0.112,1.2,1.7,-1.2,1.7,0,0,0.230,0.270,8.85
0.2550,0.1268,0.3632,-0.4199,7.6187,0.024,0.112,0.7,1.7,-0.7,1.7,0,0,0.220,0.260,5.07
0.2600,0.1268,0.3632,-0.4199,7.6187,0.014,0.112,0.4,1.7,-0.4,1.7,0,0,0.230,0.280,5.08
0.2650,0.1268,0.3632,-0.4199,7.6187,0.009,0.112,0.3,1.7,-0.3,1.7,0,0,0.220,0.300,5.07
0.2700,0.1268,0.3632,-0.4199,7.6187,0.005,0.112,0.2,1.7,-0.2,1.7,0,0,0.220,0.280,6.47
0.2750,0.1268,0.3632,-0.4199,7.6187,0.003,0.112,0.1,1.7,-0.1,1.7,0,0,0.220,0.280,5.07
0.2800,0.1268,0.3632,-0.4203,7.6188,0.002,0.112,0.1,1.7,-0.1,1.7,0,0,0.210,0.280,10.49
0.2850,0.1268,0.3632,-0.4203,7.6188,0.001,0.067,0.0,1.0,-0.0,1.0,0,0,0.210,0.260,5.07
0.2900,0.1268,0.3632,-0.4203,7.6188,0.001,0.040,0.0,0.6,-0.0,0.6,0,0,0.210,0.280,8.83
0.2950,0.1268,0.3632,-0.4203,7.6188,0.000,0.024,0.0,0.4,-0.0,0.4,0,0,0.230,0.300,5.08
0.3000,0.1268,0.3632,-0.4203,7.6188,0.000,0.015,0.0,0.2,-0.0,0.2,0,0,0.210,0.290,5.07
0.3050,0.1268,0.3632,-0.4203,7.6188,0.000,0.009,0.0,0.1,-0.0,0.1,0,0,0.210,0.280,5.08
0.3100,0.1268,0.3632,-0.4203,7.6188,0.000,0.005,0.0,0.1,-0.0,0.1,0,0,0.210,0.290,6.53
0.3150,0.1268,0.3632,-0.4203,7.6188,0.000,0.003,0.0,0.0,-0.0,0.0,0,0,0.210,0.270,6.35
0.3200,0.1268,0.3632,-0.4203,7.6188,0.000,0.002,0.0,0.0,-0.0,0.0,0,0,0.220,0.280,7.89
0.3250,0.1268,0.3632,-0.4203,7.6188,0.045,0.001,1.3,0.0,-1.3,0.0,0,0,0.220,0.270,5.07
0.3300,0.1268,0.3632,-0.4203,7.6188,0.072,0.001,2.1,0.0,-2.1,0.0,0,0,0.210,0.280,7.88
0.3350,0.1268,0.3632,-0.4203,7.6188,0.088,0.000,2.6,0.0,-2.6,0.0,0,0,0.230,0.310,5.07
0.3400,0.1268,0.3632,-0.4203,7.6188,0.097,0.000,2.9,0.0,-2.9,0.0,0,0,0.230,0.290,5.07
0.3450,0.1278,0.3563,-0.4203,7.6188,0.103,0.000,3.1,0.0,-3.1,0.0,0,0,0.220,0.270,5.07
