t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms
0.0000,0.1523,0.3642,-0.3811,7.9923,0.017,0.017,0.090,0.000,0.2,-0.1,6.3,0.0,-6.4,-0.1,0,0,0.000,0.000,0.01
0.0050,0.1523,0.3642,-0.3811,7.9923,0.014,0.014,0.143,0.000,0.1,-0.1,10.0,0.0,-10.2,-0.1,0,0,0.000,0.000,42.06
0.0100,0.1523,0.3642,-0.3811,7.9923,0.012,0.012,0.175,0.000,0.1,-0.1,12.3,0.0,-12.4,-0.1,0,2,0.190,0.110,5.06
0.0150,0.1523,0.3642,-0.3811,7.9923,0.010,0.010,0.195,0.000,0.1,-0.1,13.6,0.0,-13.7,-0.1,-1,1,0.220,0.350,5.06
0.0200,0.1453,0.3633,-0.3811,7.9923,0.009,0.009,0.206,0.000,0.1,-0.0,14.4,0.0,-14.5,-0.0,-3,0,0.210,0.340,5.06
0.0250,0.1453,0.3633,-0.3811,7.9923,0.007,0.007,0.213,0.000,0.1,-0.0,14.9,0.0,-15.0,-0.0,-1,0,0.190,0.350,6.67
0.0300,0.1453,0.3633,-0.3811,7.9923,0.006,0.006,0.218,0.000,0.1,-0.0,15.2,0.0,-15.3,-0.0,-2,0,0.180,0.340,6.68
0.0350,0.1453,0.3633,-0.3811,7.9923,0.005,0.005,0.220,0.000,0.1,-0.0,15.4,0.0,-15.5,-0.0,-2,0,0.180,0.330,8.67
0.0400,0.1453,0.3633,-0.3811,7.9923,0.005,0.005,0.132,0.000,0.0,-0.0,9.2,0.0,-9.3,-0.0,-1,0,0.170,0.340,5.06
0.0450,0.1453,0.3633,-0.3811,7.9923,0.004,0.004,0.079,0.000,0.0,-0.0,5.5,0.0,-5.6,-0.0,-2,0,0.150,0.350,9.06
0.0500,0.1453,0.3633,-0.3811,7.9923,0.003,0.003,0.048,0.000,0.0,-0.0,3.3,0.0,-3.4,-0.0,-1,0,0.160,0.370,5.22
0.0550,0.1462,0.3564,-0.3811,7.9923,0.003,0.003,0.029,0.000,0.0,-0.0,2.0,0.0,-2.0,-0.0,0,0,0.170,0.350,5.08
0.0600,0.1462,0.3564,-0.3811,7.9923,0.002,0.002,0.017,0.000,0.0,-0.0,1.2,0.0,-1.2,-0.0,0,0,0.170,0.360,6.08
0.0650,0.1462,0.3564,-0.3811,7.9923,0.002,0.002,0.010,0.000,0.0,-0.0,0.7,0.0,-0.7,-0.0,0,0,0.180,0.350,5.07
0.0700,0.1462,0.3564,-0.3811,7.9923,0.002,0.002,0.006,0.000,0.0,-0.0,0.4,0.0,-0.4,-0.0,1,0,0.180,0.360,6.16
0.0750,0.1462,0.3564,-0.3811,7.9923,0.001,0.001,0.004,0.000,0.0,-0.0,0.3,0.0,-0.3,-0.0,0,0,0.170,0.340,8.19
0.0800,0.1462,0.3564,-0.3811,7.9923,0.001,0.001,0.002,0.000,0.0,-0.0,0.2,0.0,-0.2,-0.0,0,0,0.190,0.370,7.48
0.0850,0.1462,0.3564,-0.3811,7.9923,0.001,0.001,0.001,0.000,0.0,-0.0,0.1,0.0,-0.1,-0.0,0,0,0.180,0.370,5.07
0.0900,0.1462,0.3564,-0.3811,7.9923,0.001,0.001,0.001,0.000,0.0,-0.0,0.1,0.0,-0.1,-0.0,0,0,0.170,0.350,5.07
0.0950,0.1462,0.3564,-0.3811,7.9923,0.001,0.001,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.360,5.07
0.1000,0.1462,0.3564,-0.3811,7.9923,0.001,0.001,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.190,0.340,5.07
0.1050,0.1462,0.3564,-0.3811,7.9923,0.001,0.001,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.350,6.84
0.1100,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.350,6.42
0.1150,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.340,7.78
0.1200,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.190,0.360,5.07
0.1250,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.340,8.97
0.1300,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.190,0.330,5.07
0.1350,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.350,5.07
0.1400,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.190,0.340,5.08
0.1450,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.190,0.330,5.73
0.1500,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.350,6.37
0.1550,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.360,5.06
0.1600,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.350,13.05
0.1650,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.190,0.340,5.07
0.1700,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.360,5.07
0.1750,0.1462,0.3564,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.170,0.340,5.07
0.1800,0.1453,0.3633,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.170,0.350,5.07
0.1850,0.1453,0.3633,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.340,6.06
0.1900,0.1453,0.3633,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.350,7.07
0.1950,0.1453,0.3633,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.200,0.350,7.81
0.2000,0.1453,0.3633,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.190,0.350,5.08
0.2050,0.1453,0.3633,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.330,9.04
0.2100,0.1453,0.3633,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.330,5.07
0.2150,0.1453,0.3633,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.180,0.340,5.06
0.2200,0.1453,0.3633,-0.3811,7.9923,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0.190,0.340,5.07
