t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms
0.0000,0.1399,0.7084,-0.7029,8.4716,0.000,0.000,0.045,0.000,0.0,0.0,3.1,0.0,-3.1,0.0,0,0,0.000,0.000,0.01
0.0050,0.1399,0.7084,-0.7029,8.4716,0.000,0.000,0.072,0.000,0.0,0.0,5.0,0.0,-5.0,0.0,0,0,0.000,0.000,42.78
0.0100,0.1399,0.7084,-0.7029,8.4716,0.000,0.000,0.088,0.000,0.0,0.0,6.1,0.0,-6.1,0.0,1,0,0.370,0.160,8.10
0.0150,0.1399,0.7084,-0.7029,8.4716,0.000,0.000,0.097,0.000,0.0,0.0,6.8,0.0,-6.8,0.0,-2,0,0.310,0.180,5.08
0.0200,0.1399,0.7084,-0.7029,8.4716,0.000,0.000,0.103,0.000,0.0,0.0,7.2,0.0,-7.2,0.0,0,0,0.330,0.170,7.59
0.0250,0.1399,0.7084,-0.7029,8.4716,0.000,0.000,0.107,0.000,0.0,0.0,7.5,0.0,-7.5,0.0,0,0,0.310,0.170,8.03
0.0300,0.1399,0.7084,-0.7029,8.4716,0.000,0.000,0.064,0.000,0.0,0.0,4.5,0.0,-4.5,0.0,0,0,0.320,0.180,8.93
0.0350,0.1399,0.7084,-0.7029,8.4716,0.000,0.000,0.038,0.000,0.0,0.0,2.7,0.0,-2.7,0.0,0,0,0.310,0.190,9.25
0.0400,0.1399,0.7084,-0.7029,8.4716,0.000,0.000,0.023,0.000,0.0,0.0,1.6,0.0,-1.6,0.0,0,0,0.320,0.170,5.07
0.0450,0.1399,0.7084,-0.7029,8.4716,0.000,0.000,0.014,0.000,0.0,0.0,1.0,0.0,-1.0,0.0,0,0,0.320,0.170,5.12
0.0500,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.008,0.000,0.0,0.0,0.6,0.0,-0.6,0.0,0,0,0.330,0.180,5.07
0.0550,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.005,0.000,0.0,0.0,0.3,0.0,-0.3,0.0,0,0,0.320,0.180,7.53
0.0600,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.003,0.000,0.0,0.0,0.2,0.0,-0.2,0.0,0,0,0.310,0.180,6.72
0.0650,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.002,0.000,0.0,0.0,0.1,0.0,-0.1,0.0,0,0,0.310,0.170,7.86
0.0700,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.001,0.000,0.0,0.0,0.1,0.0,-0.1,0.0,0,0,0.300,0.170,5.07
0.0750,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.001,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.320,0.180,9.26
0.0800,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.330,0.170,5.07
0.0850,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.300,0.180,5.07
0.0900,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.320,0.170,5.95
0.0950,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.180,5.07
0.1000,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.320,0.170,8.08
0.1050,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.320,0.170,9.86
0.1100,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.300,0.160,9.35
0.1150,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.330,0.180,5.07
0.1200,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.180,5.16
0.1250,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.170,5.07
0.1300,0.1387,0.7153,-0.7029,8.4716,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.190,7.54
0.1350,0.1387,0.7153,-0.7011,8.4647,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.170,7.97
0.1400,0.1387,0.7153,-0.7011,8.4647,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.180,9.85
0.1450,0.1387,0.7153,-0.7011,8.4647,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.180,9.68
0.1500,0.1387,0.7153,-0.7011,8.4647,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.330,0.180,5.07
0.1550,0.1387,0.7153,-0.7011,8.4647,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.300,0.180,5.13
0.1600,0.1399,0.7084,-0.7011,8.4647,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.320,0.160,5.07
0.1650,0.1399,0.7084,-0.7011,8.4647,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.170,8.26
0.1700,0.1399,0.7084,-0.6994,8.5100,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.320,0.180,7.97
0.1750,0.1399,0.7084,-0.6994,8.5100,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.180,8.94
0.1800,0.1399,0.7084,-0.6994,8.5100,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.170,9.14
0.1850,0.1399,0.7084,-0.6994,8.5100,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.320,0.180,5.07
0.1900,0.1399,0.7084,-0.6994,8.5100,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.180,5.10
0.1950,0.1399,0.7084,-0.6994,8.5100,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.170,5.07
0.2000,0.1399,0.7084,-0.6994,8.5100,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.180,7.55
0.2050,0.1399,0.7084,-0.7011,8.5098,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.320,0.170,8.11
0.2100,0.1399,0.7084,-0.7011,8.5098,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.320,0.170,9.16
0.2150,0.1399,0.7084,-0.7011,8.5098,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.330,0.160,9.83
0.2200,0.1399,0.7084,-0.7011,8.5098,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.330,0.170,5.07
0.2250,0.1399,0.7084,-0.7011,8.5098,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.290,0.180,5.13
0.2300,0.1399,0.7084,-0.7011,8.5098,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.320,0.170,5.07
0.2350,0.1399,0.7084,-0.7011,8.5098,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.180,8.14
0.2400,0.1399,0.7084,-0.7011,8.5098,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.290,0.170,7.18
0.2450,0.1399,0.7084,-0.7001,8.5167,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.170,7.93
0.2500,0.1399,0.7084,-0.7001,8.5167,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.180,9.02
0.2550,0.1399,0.7084,-0.7001,8.5167,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.320,0.180,5.07
0.2600,0.1399,0.7084,-0.7001,8.5167,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.180,5.07
0.2650,0.1399,0.7084,-0.7001,8.5167,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.180,5.07
0.2700,0.1399,0.7084,-0.7001,8.5167,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.290,0.180,6.54
0.2750,0.1399,0.7084,-0.7001,8.5167,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.300,0.180,5.07
0.2800,0.1399,0.7084,-0.7001,8.5167,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.170,7.31
0.2850,0.1399,0.7084,-0.7001,8.5167,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.300,0.160,9.53
0.2900,0.1399,0.7084,-0.7001,8.5167,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.310,0.170,9.14
0.2950,0.1399,0.7084,-0.7001,8.5167,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.320,0.170,5.07
