t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,0.2914,-0.1759,-0.7920,6.4027,0.000,0.000,0.224,0.112,0.0,0.0,56.0,0.0,-172.5,-35.2,0,0,0.000,0.000,0.02,
0.0050,0.3059,-0.1847,-0.7920,6.4027,0.000,0.000,0.224,0.112,0.0,0.0,56.0,0.0,-178.3,-36.9,0,0,0.000,0.000,40.10,
0.0100,0.3067,-0.1852,-0.7920,6.4027,0.000,0.000,0.224,0.112,0.0,0.0,56.0,0.0,-178.6,-37.0,-14,-3,0.590,0.390,5.06,
0.0150,0.3067,-0.1852,-0.7920,6.4027,0.000,0.000,0.224,0.112,0.0,0.0,56.0,0.0,-178.6,-37.0,-81,-13,0.740,0.450,5.06,
0.0200,0.3264,-0.1826,-0.7920,6.4027,0.000,0.000,0.224,0.112,0.0,0.0,56.0,0.0,-186.5,-36.5,-123,-12,0.620,0.420,5.06,
0.0250,0.3274,-0.1825,-0.7920,6.4027,0.000,0.000,0.224,0.112,0.0,0.0,56.0,0.0,-186.9,-36.5,-103,-6,0.660,0.290,6.66,
0.0300,0.3275,-0.1824,-0.7920,6.4027,0.000,0.000,0.224,0.112,0.0,0.0,56.0,0.0,-186.9,-36.5,-81,-8,0.800,0.500,6.36,
0.0350,0.3275,-0.1824,-0.7961,6.4118,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-131.0,-36.5,-83,-9,0.850,0.500,5.07,
0.0400,0.3275,-0.1824,-0.7961,6.4118,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-131.0,-36.5,-97,-15,0.880,0.510,14.43,
0.0450,0.3275,-0.1824,-0.7961,6.4118,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-131.0,-36.5,-87,-16,0.810,0.530,5.07,
0.0500,0.3275,-0.1824,-0.7961,6.4118,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-131.0,-36.5,-61,-19,0.920,0.520,5.66,
0.0550,0.3275,-0.1824,-0.7961,6.4118,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-131.0,-36.5,-63,-20,0.970,0.510,5.08,
0.0600,0.3275,-0.1824,-0.7961,6.4118,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-131.0,-36.5,-85,-22,0.910,0.530,6.32,
0.0650,0.3275,-0.1824,-0.7961,6.4118,-0.168,0.000,0.000,0.000,-1.7,0.0,0.0,0.0,-129.3,-36.5,-90,-22,0.870,0.560,5.08,
0.0700,0.3275,-0.1824,-0.7460,6.4604,-0.285,0.000,0.000,0.000,-2.9,0.0,0.0,0.0,-128.1,-36.5,-97,-22,0.860,0.540,6.59,
0.0750,0.3275,-0.1824,-0.7460,6.4604,-0.368,0.000,0.000,0.000,-3.7,0.0,0.0,0.0,-127.3,-36.5,-98,-24,0.850,0.580,10.19,
0.0800,0.3275,-0.1824,-0.7460,6.4604,-0.425,0.000,0.000,0.000,-4.3,0.0,0.0,0.0,-126.7,-36.5,-92,-25,0.870,0.570,9.15,
0.0850,0.3275,-0.1824,-0.7460,6.4604,-0.465,0.000,0.000,0.000,-4.7,0.0,0.0,0.0,-126.3,-36.5,-89,-25,0.880,0.560,5.07,
0.0900,0.2871,-0.1811,-0.7460,6.4604,-0.494,0.000,0.000,0.000,-4.9,0.0,0.0,0.0,-109.9,-36.2,-88,-26,0.900,0.600,5.04,
0.0950,0.2851,-0.1810,-0.7460,6.4604,-0.513,0.000,0.000,0.000,-5.1,0.0,0.0,0.0,-108.9,-36.2,-89,-26,0.920,0.600,5.76,
0.1000,0.2850,-0.1810,-0.7460,6.4604,-0.796,0.000,0.000,0.000,-8.0,0.0,0.0,0.0,-106.0,-36.2,-88,-27,0.860,0.610,5.08,
0.1050,0.2850,-0.1810,-0.7460,6.4604,-0.994,0.000,0.000,0.000,-9.9,0.0,0.0,0.0,-104.1,-36.2,-83,-29,0.860,0.600,6.15,
0.1100,0.2850,-0.1810,-0.7460,6.4604,-1.132,0.000,0.000,0.000,-11.3,0.0,0.0,0.0,-102.7,-36.2,-85,-29,0.870,0.630,5.08,
0.1150,0.2850,-0.1810,-0.7460,6.4604,-1.229,0.000,0.000,0.000,-12.3,0.0,0.0,0.0,-101.7,-36.2,-90,-33,0.800,0.600,14.45,
0.1200,0.2850,-0.1810,-0.7460,6.4604,-1.297,0.000,0.000,0.000,-13.0,0.0,0.0,0.0,-101.0,-36.2,-91,-34,0.780,0.590,5.07,
0.1250,0.2850,-0.1810,-0.7460,6.4604,-1.344,0.000,0.000,0.000,-13.4,0.0,0.0,0.0,-100.6,-36.2,-91,-36,0.750,0.600,5.24,
0.1300,0.2165,-0.1700,-0.7460,6.4604,-1.377,0.000,0.000,0.000,-13.8,0.0,0.0,0.0,-72.8,-34.0,-93,-38,0.740,0.590,5.07,
0.1350,0.2131,-0.1694,-0.7460,6.4604,-1.401,0.000,0.000,0.000,-14.0,0.0,0.0,0.0,-71.2,-33.9,-101,-42,0.680,0.580,5.82,
0.1400,0.2129,-0.1694,-0.7460,6.4604,-1.417,0.168,0.000,0.000,-14.2,5.0,0.0,0.0,-71.0,-28.8,-102,-43,0.580,0.600,5.07,
0.1450,0.2129,-0.1694,-0.7455,6.4610,-1.428,0.285,0.000,0.000,-14.3,8.6,0.0,0.0,-70.9,-25.3,-90,-44,0.540,0.560,6.19,
0.1500,0.2129,-0.1694,-0.7455,6.4610,-1.436,0.368,0.000,0.000,-14.4,11.0,0.0,0.0,-70.8,-22.9,-95,-42,0.490,0.500,8.22,
0.1550,0.2129,-0.1694,-0.7455,6.4610,-1.442,0.425,0.000,0.000,-14.4,12.8,0.0,0.0,-70.7,-21.1,-99,-41,0.440,0.550,5.07,
0.1600,0.2129,-0.1694,-0.7455,6.4610,-1.446,0.465,0.000,0.000,-14.5,14.0,0.0,0.0,-70.7,-19.9,-100,-36,0.380,0.530,8.31,
0.1650,0.2129,-0.1694,-0.7455,6.4610,-1.448,0.494,0.000,0.000,-14.5,14.8,0.0,0.0,-70.7,-19.1,-94,-35,0.340,0.530,5.07,
0.1700,0.1492,-0.1443,-0.7455,6.4610,-1.450,0.513,0.000,0.000,-14.5,15.4,0.0,0.0,-45.2,-13.5,-90,-33,0.330,0.500,5.06,
0.1750,0.1461,-0.1430,-0.7455,6.4610,-1.452,0.527,0.000,0.000,-14.5,15.8,0.0,0.0,-43.9,-12.8,-83,-29,0.320,0.520,7.87,
