t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,dt_ms
0.000,-0.0837,137.6,0.3126,887.4,-0.4587,5.9160,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,-137.6,887.4,0.01
0.020,-0.0837,138.5,0.3126,887.7,-0.4587,5.9160,0,0,0.00,0.00,0.000,0.000,-0.03,0.03,-0.8,0.3,-137.6,887.4,41.88
0.040,-0.0757,139.0,0.3068,887.8,-0.4587,5.9160,6,24,0.00,0.00,0.380,0.660,-0.06,0.06,-1.4,0.5,-137.6,887.4,20.08
0.060,-0.0757,138.6,0.3068,888.0,-0.4587,5.9160,82,693,0.00,5.71,0.440,0.740,-0.04,0.07,-1.0,0.6,-137.6,887.4,20.09
0.080,-0.0757,138.3,0.3068,888.1,-0.4587,5.9160,92,780,2.86,11.43,0.540,0.570,-0.03,0.09,-0.7,0.7,-137.6,887.4,20.08
0.100,-0.0815,138.9,0.2988,886.5,-0.4587,5.9160,85,796,2.86,14.29,0.650,0.010,-0.05,-0.11,-1.3,-0.9,-137.6,887.4,20.07
0.120,-0.0815,139.4,0.2988,885.4,-0.4587,5.9160,124,854,2.86,20.00,0.700,0.360,-0.07,-0.24,-1.8,-1.9,-137.6,887.4,20.08
0.140,-0.0820,139.7,0.2563,884.7,-0.4587,5.9160,147,829,2.86,25.71,0.550,0.690,-0.08,-0.34,-2.1,-2.7,-137.6,887.4,20.09
0.160,-0.0820,140.6,0.2563,882.3,-0.4584,5.9159,136,856,5.71,28.57,0.560,0.500,-0.13,-0.64,-3.1,-5.1,-137.5,887.4,20.07
0.180,-0.0820,141.4,0.2563,880.6,-0.4584,5.9159,87,862,5.71,37.14,0.650,0.180,-0.15,-0.85,-3.9,-6.8,-137.5,887.4,20.09
0.200,-0.0852,138.5,0.1850,878.1,-0.4584,5.9159,90,880,5.71,40.00,0.740,0.630,-0.04,-1.17,-1.0,-9.3,-137.5,887.4,20.08
0.220,-0.0852,136.6,0.1850,876.3,-0.4584,5.9159,116,872,5.71,45.71,0.670,0.640,0.04,-1.39,1.0,-11.1,-137.5,887.4,20.07
0.240,-0.0681,135.2,0.0744,875.1,-0.4584,5.9159,107,868,5.71,51.43,0.610,0.110,0.09,-1.54,2.3,-12.3,-137.5,887.4,20.08
0.260,-0.0681,126.2,0.0744,872.7,-0.4514,5.9170,118,880,8.57,54.29,0.550,0.380,0.37,-1.85,9.2,-14.8,-135.4,887.6,20.09
0.280,-0.0681,121.4,0.0744,871.0,-0.4514,5.9170,123,871,8.57,60.00,0.460,0.810,0.56,-2.07,14.0,-16.5,-135.4,887.6,20.07
0.300,-0.0031,111.5,-0.0713,866.8,-0.4434,5.9112,122,890,8.57,62.86,0.360,0.380,0.86,-2.49,21.5,-19.9,-133.0,886.7,20.07
0.320,-0.0031,106.2,-0.0713,864.4,-0.4434,5.9112,135,895,8.57,71.43,0.250,0.350,1.07,-2.78,26.8,-22.3,-133.0,886.7,20.07
0.340,0.0810,104.2,-0.2493,861.7,-0.4434,5.9112,155,860,11.43,74.29,0.010,0.760,1.15,-3.12,28.9,-25.0,-133.0,886.7,20.07
0.360,0.0810,102.7,-0.2493,859.8,-0.4434,5.9112,110,875,11.43,80.00,0.000,0.780,1.21,-3.36,30.3,-26.9,-133.0,886.7,20.07
0.380,0.0810,101.8,-0.2493,858.5,-0.4434,5.9112,93,842,11.43,85.71,0.110,0.140,1.25,-3.53,31.3,-28.2,-133.0,886.7,20.07
0.400,0.1408,102.8,-0.4524,856.8,-0.4295,5.9135,87,858,11.43,88.57,0.130,0.510,1.04,-3.78,26.1,-30.2,-128.9,887.0,20.07
0.420,0.1408,106.4,-0.4524,855.4,-0.4295,5.9135,104,847,11.43,94.29,0.150,0.690,0.90,-3.95,22.5,-31.6,-128.9,887.0,20.07
0.440,0.1463,114.8,-0.6709,853.3,-0.4295,5.9135,108,872,14.29,100.00,0.130,0.190,0.56,-4.21,14.0,-33.7,-128.9,887.0,20.07
0.460,0.1463,120.7,-0.6709,851.9,-0.4295,5.9135,96,853,14.29,105.71,0.220,0.150,0.33,-4.39,8.1,-35.1,-128.9,887.0,20.09
0.480,0.1463,124.8,-0.6709,850.9,-0.4295,5.9135,87,858,14.29,111.43,0.360,0.660,0.16,-4.52,4.0,-36.1,-128.9,887.0,20.08
0.500,0.1413,131.9,-0.9124,848.8,-0.4434,5.9112,86,847,14.29,114.29,0.530,0.530,0.05,-4.74,1.1,-37.9,-133.0,886.7,20.07
0.520,0.1413,133.9,-0.9124,847.5,-0.4434,5.9112,109,846,17.14,120.00,0.650,0.120,-0.04,-4.90,-0.9,-39.2,-133.0,886.7,20.08
0.540,0.1476,129.4,-1.1804,492.3,-0.4434,5.9112,117,848,17.14,122.86,0.720,0.460,0.14,-5.04,3.6,-40.3,-133.0,886.7,20.07
0.560,0.1476,128.4,-1.1804,491.3,-0.4503,5.9101,117,822,17.14,128.57,0.820,0.710,0.27,-5.14,6.7,-41.1,-135.1,886.5,20.07
0.580,0.1476,126.2,-1.1804,490.7,-0.4503,5.9101,122,535,17.14,131.43,0.900,0.130,0.36,-5.21,8.9,-41.7,-135.1,886.5,20.08
0.600,0.1767,120.5,-1.4589,406.0,-0.4503,5.9101,128,550,17.14,134.29,0.950,0.120,0.58,-5.36,14.6,-42.9,-135.1,886.5,20.07
0.620,0.1767,116.5,-1.4589,405.1,-0.4503,5.9101,123,486,20.00,137.14,0.980,0.190,0.74,-5.46,18.6,-43.7,-135.1,886.5,20.08
0.640,0.2416,113.7,-1.7391,321.6,-0.4503,5.9101,127,457,20.00,140.00,1.040,0.370,0.86,-5.40,21.4,-43.2,-135.1,886.5,20.06
0.660,0.2416,109.6,-1.7391,322.1,-0.4434,5.9112,128,430,20.00,142.86,0.950,0.620,0.94,-5.36,23.4,-42.9,-133.0,886.7,20.07
0.680,0.2416,108.2,-1.7391,322.3,-0.4434,5.9112,116,306,20.00,145.71,0.970,0.690,0.99,-5.33,24.8,-42.6,-133.0,886.7,20.09
0.700,0.2944,108.7,-1.9858,250.1,-0.4426,5.9043,109,349,22.86,145.71,0.940,0.550,0.96,-4.97,24.1,-39.8,-132.8,885.7,20.07
0.720,0.2944,109.2,-1.9858,252.1,-0.4426,5.9043,110,349,22.86,148.57,0.910,0.330,0.94,-4.72,23.6,-37.8,-132.8,885.7,20.07
0.740,0.3303,113.8,-2.1713,200.8,-0.4426,5.9043,128,278,22.86,151.43,0.760,0.110,0.76,-4.18,19.0,-33.4,-132.8,885.7,20.07
0.760,0.3303,119.4,-2.1713,204.7,-0.4507,5.9101,109,238,22.86,151.43,0.660,0.010,0.63,-3.80,15.8,-30.4,-135.2,886.5,20.07
0.780,0.3498,121.6,-2.2957,169.6,-0.4507,5.9101,97,210,25.71,154.29,0.660,0.010,0.54,-3.53,13.6,-28.3,-135.2,886.5,20.07
0.800,0.3498,124.4,-2.2957,174.1,-0.4576,5.9090,94,189,25.71,154.29,0.700,0.130,0.51,-2.94,12.9,-23.5,-137.3,886.4,20.07
0.820,0.3498,124.9,-2.2957,177.4,-0.4576,5.9090,100,176,25.71,154.29,0.710,0.300,0.49,-2.53,12.4,-20.2,-137.3,886.4,20.07
0.840,0.3815,124.4,-2.3616,161.0,-0.4576,5.9090,113,190,25.71,157.14,0.600,0.330,0.51,-2.11,12.9,-16.9,-137.3,886.4,20.07
