t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,d_roll_erpm,d_pitch_erpm,dt_ms
0.000,0.3536,-0.0,-0.4079,0.0,-1.3349,6.3378,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,0.02
0.020,0.3536,-0.5,-0.4079,0.0,-1.3349,6.3378,0,0,0.00,0.00,0.000,0.000,0.03,0.00,0.5,0.0,41.23
0.040,0.3524,-0.9,-0.4010,0.0,-1.3349,6.3378,4,1,0.00,0.00,0.110,0.230,0.06,0.00,0.9,0.0,20.08
0.060,0.3524,-0.6,-0.4010,0.0,-1.3349,6.3378,0,0,0.00,0.00,0.060,0.230,0.04,0.00,0.6,0.0,20.10
0.080,0.3524,-0.4,-0.4010,0.0,-1.3349,6.3378,0,0,0.00,0.00,0.350,0.230,0.03,0.00,0.4,0.0,20.21
0.100,0.3455,-0.3,-0.4022,0.0,-1.3418,6.3367,0,0,0.00,0.00,0.360,0.230,0.02,0.00,0.3,0.0,20.09
0.120,0.3455,-0.2,-0.4022,0.0,-1.3418,6.3367,0,0,0.00,0.00,0.360,0.230,0.01,0.00,0.2,0.0,20.09
0.140,0.3467,-0.1,-0.4091,0.0,-1.3418,6.3367,0,0,0.00,0.00,0.350,0.230,0.01,0.00,0.1,0.0,20.07
0.160,0.3467,-0.1,-0.4091,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.350,0.220,0.01,0.00,0.1,0.0,20.09
0.180,0.3467,-0.1,-0.4091,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.350,0.230,0.00,0.00,0.1,0.0,20.08
0.200,0.3467,-0.0,-0.4091,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.360,0.230,0.00,0.00,0.0,0.0,20.09
0.220,0.3467,-0.0,-0.4091,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.340,0.220,0.00,0.00,0.0,0.0,20.10
0.240,0.3467,-0.0,-0.4091,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.330,0.230,0.00,0.00,0.0,0.0,20.07
0.260,0.3467,-0.0,-0.4091,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.340,0.230,0.00,0.00,0.0,0.0,20.09
0.280,0.3467,-0.0,-0.4091,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.350,0.240,0.00,0.00,0.0,0.0,20.07
0.300,0.3467,-0.0,-0.4091,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.340,0.230,0.00,0.00,0.0,0.0,20.09
0.320,0.3467,-0.0,-0.4091,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.350,0.240,0.00,0.00,0.0,0.0,20.07
0.340,0.3398,-0.0,-0.4102,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.350,0.250,0.00,0.00,0.0,0.0,20.07
0.360,0.3398,-0.0,-0.4102,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.350,0.230,0.00,0.00,0.0,0.0,20.07
0.380,0.3398,-0.0,-0.4102,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.340,0.220,0.00,0.00,0.0,0.0,20.07
0.400,0.3398,-0.0,-0.4102,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.360,0.240,0.00,0.00,0.0,0.0,20.09
0.420,0.3398,-0.0,-0.4102,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.350,0.230,0.00,0.00,0.0,0.0,20.07
0.440,0.3398,-0.0,-0.4102,0.0,-1.3429,6.3437,0,0,0.00,0.00,0.350,0.230,0.00,0.00,0.0,0.0,20.08
0.460,0.3398,-0.0,-0.4102,0.0,-1.3418,6.3367,0,0,0.00,0.00,0.350,0.230,0.00,0.00,0.0,0.0,20.09
0.480,0.3398,-0.0,-0.4102,0.0,-1.3418,6.3367,0,0,0.00,0.00,0.340,0.230,0.00,0.00,0.0,0.0,20.07
0.500,0.3467,-0.0,-0.4091,0.0,-1.3418,6.3367,0,0,0.00,0.00,0.330,0.250,0.00,0.00,0.0,0.0,20.07
0.520,0.3467,-0.0,-0.4091,0.0,-1.3418,6.3367,0,0,0.00,0.00,0.350,0.230,0.00,0.00,0.0,0.0,20.07
0.540,0.3467,-0.0,-0.4091,0.0,-1.3418,6.3367,0,0,0.00,0.00,0.350,0.230,0.00,0.00,0.0,0.0,20.07
0.560,0.3467,-0.0,-0.4091,0.0,-1.3477,6.3287,0,0,0.00,0.00,0.340,0.230,0.00,0.00,0.0,0.0,20.07
0.580,0.3467,-0.0,-0.4091,0.0,-1.3477,6.3287,0,0,0.00,0.00,0.340,0.240,0.00,0.00,0.0,0.0,20.07
0.600,0.3467,-0.0,-0.4091,0.0,-1.3477,6.3287,0,0,0.00,0.00,0.320,0.240,0.00,0.00,0.0,0.0,20.08
0.620,0.3467,-0.0,-0.4091,0.0,-1.3477,6.3287,0,0,0.00,0.00,0.350,0.230,0.00,0.00,0.0,0.0,20.07
0.640,0.3467,-0.0,-0.4091,0.0,-1.3477,6.3287,0,0,0.00,0.00,0.350,0.250,0.00,0.00,0.0,0.0,20.07
0.660,0.3467,-0.0,-0.4091,0.0,-1.3477,6.3287,0,0,0.00,0.00,0.350,0.230,0.00,0.00,0.0,0.0,20.09
0.680,0.3467,-0.0,-0.4091,0.0,-1.3477,6.3287,0,0,0.00,0.00,0.350,0.240,0.00,0.00,0.0,0.0,20.08
0.700,0.3467,-0.0,-0.4091,0.0,-1.3477,6.3287,0,0,0.00,0.00,0.340,0.250,0.00,0.00,0.0,0.0,20.09
0.720,0.3467,-0.0,-0.4091,0.0,-1.3477,6.3287,0,0,0.00,0.00,0.350,0.230,0.00,0.00,0.0,0.0,20.07
0.740,0.3547,-0.0,-0.4148,0.0,-1.3477,6.3287,0,0,0.00,0.00,0.350,0.240,0.00,0.00,0.0,0.0,20.09
0.760,0.3547,-0.0,-0.4148,0.0,-1.3477,6.3287,0,0,0.00,0.00,0.340,0.240,0.00,0.00,0.0,0.0,20.09
0.780,0.3547,-0.0,-0.4148,0.0,-1.3477,6.3287,0,0,0.00,0.00,0.350,0.240,0.00,0.00,0.0,0.0,20.09
0.800,0.3547,-0.0,-0.4148,0.0,-1.3466,6.3218,0,0,0.00,0.00,0.350,0.240,0.00,0.00,0.0,0.0,20.09
0.820,0.3547,-0.0,-0.4148,0.0,-1.3466,6.3218,0,0,0.00,0.00,0.340,0.240,0.00,0.00,0.0,0.0,20.08
0.840,0.3559,-0.0,-0.4217,0.0,-1.3466,6.3218,0,0,0.00,0.00,0.350,0.250,0.00,0.00,0.0,0.0,20.08
0.860,0.3559,-0.0,-0.4217,0.0,-1.3466,6.3218,0,0,0.00,0.00,0.350,0.240,0.00,0.00,0.0,0.0,20.09
0.880,0.3559,-0.0,-0.4217,0.0,-1.3466,6.3218,0,0,0.00,0.00,0.350,0.240,0.00,0.00,0.0,0.0,20.08
0.900,0.3559,-0.0,-0.4217,0.0,-1.3466,6.3218,0,0,0.00,0.00,0.340,0.230,0.00,0.00,0.0,0.0,20.08
0.920,0.3559,-0.0,-0.4217,0.0,-1.3466,6.3218,0,0,0.00,0.00,0.350,0.230,0.00,0.00,0.0,0.0,20.07
0.940,0.3559,-0.0,-0.4217,0.0,-1.3466,6.3218,0,0,0.00,0.00,0.340,0.240,0.00,0.00,0.0,0.0,20.07
0.960,0.3559,-0.0,-0.4217,0.0,-1.3466,6.3218,0,0,0.00,0.00,0.340,0.240,0.00,0.00,0.0,0.0,20.07
0.980,0.3571,-0.0,-0.4286,0.0,-1.3466,6.3218,0,0,0.00,0.00,0.340,0.240,0.00,0.00,0.0,0.0,20.07
1.000,0.3571,0.5,-0.4286,0.3,-1.3466,6.3218,0,0,0.00,0.00,0.340,0.230,-0.03,0.03,-0.5,0.3,20.08
1.020,0.3571,0.9,-0.4286,0.5,-1.3466,6.3218,0,0,0.00,0.00,0.340,0.230,-0.06,0.06,-0.9,0.5,20.07
1.040,0.3571,0.1,-0.4286,0.3,-1.3466,6.3218,0,0,0.00,0.00,0.360,0.230,-0.01,0.04,-0.1,0.3,20.07
1.060,0.3571,-0.4,-0.4286,0.2,-1.3466,6.3218,0,0,0.00,0.00,0.340,0.240,0.03,0.03,0.4,0.2,20.07
