t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,dt_ms
0.000,-1.4776,886.6,8.8687,2660.6,-0.0210,8.1129,0,0,0.00,0.00,0.000,0.000,0.03
0.020,-1.4776,886.6,8.8687,2660.6,-0.0210,8.1129,0,0,0.00,0.00,0.000,0.000,37.71
0.040,-1.4749,884.9,8.8902,2667.1,-0.4558,7.7969,0,0,0.00,0.00,0.120,0.350,20.09
0.060,-1.4749,884.9,8.8902,2667.1,-0.4558,7.7969,549,2223,5.71,17.14,0.510,1.240,20.08
0.080,-1.4592,875.5,8.8856,2665.7,-0.4558,7.7969,647,2320,8.57,25.71,1.470,0.690,20.08
0.100,-1.4592,875.5,8.8856,2665.7,-0.4689,7.8019,696,2417,11.43,37.14,1.700,0.600,20.08
0.120,-1.4592,875.5,8.8856,2665.7,-0.4689,7.8019,761,2517,17.14,60.00,1.340,0.560,20.07
0.140,-1.2450,747.0,8.8582,2657.5,-0.4780,7.7979,801,2563,20.00,65.71,1.410,0.600,20.09
0.160,-1.2450,747.0,8.8582,2657.5,-0.4780,7.7979,832,2566,28.57,88.57,1.850,1.180,20.07
0.180,-0.7412,444.7,8.6228,2586.9,-0.4780,7.7979,743,2582,28.57,94.29,1.480,1.520,20.08
0.200,-0.7412,444.7,8.6228,2586.9,-0.4562,7.7967,787,2632,34.29,111.43,1.060,1.680,20.09
0.220,-0.7412,444.7,8.6228,2586.9,-0.4562,7.7967,607,2568,40.00,131.43,0.310,1.010,20.07
0.240,-0.0609,-0.0,7.6001,2280.0,-0.4117,7.7947,590,2575,40.00,140.00,0.390,1.110,20.08
0.260,-0.0609,-0.0,7.6001,2280.0,-0.4117,7.7947,496,2592,45.71,160.00,0.630,0.710,20.07
0.280,0.4974,-0.0,5.7266,1718.0,-0.4117,7.7947,81,2303,45.71,171.43,0.310,0.430,20.07
0.300,0.4974,-0.0,5.7266,1718.0,-0.3738,7.7953,120,2336,45.71,182.86,0.490,0.540,20.09
0.320,0.4974,-0.0,5.7266,1718.0,-0.3738,7.7953,50,1838,45.71,197.14,0.370,0.490,20.08
0.340,0.7965,-477.9,3.7897,1136.9,-0.3581,7.7968,36,1790,45.71,202.86,0.350,0.440,20.09
0.360,0.7965,-477.9,3.7897,1136.9,-0.3581,7.7968,18,1756,45.71,217.14,0.360,0.820,20.07
0.380,0.7690,-461.4,2.3165,694.9,-0.3581,7.7968,-338,1201,45.71,222.86,0.100,0.490,20.08
0.400,0.7690,-461.4,2.3165,694.9,-0.3577,7.7970,-336,1247,42.86,228.57,0.090,0.730,20.05
0.420,0.7690,-461.4,2.3165,694.9,-0.3577,7.7970,-376,792,40.00,234.29,0.050,0.030,20.07
0.440,0.5061,-303.6,1.5266,458.0,-0.3865,7.8005,-437,778,40.00,237.14,0.050,0.500,20.08
0.460,0.5061,-303.6,1.5266,458.0,-0.3865,7.8005,-518,716,34.29,242.86,0.260,0.670,20.07
0.480,0.0995,-0.0,1.4147,424.4,-0.3865,7.8005,-404,489,34.29,245.71,0.020,0.180,20.07
0.500,0.0995,-0.0,1.4147,424.4,-0.4269,7.7934,-378,530,31.43,248.57,0.020,0.010,20.08
0.520,0.0995,-0.0,1.4147,424.4,-0.4269,7.7934,-158,455,28.57,251.43,0.750,0.130,20.07
0.540,-0.2348,-0.0,1.8827,564.8,-0.4714,7.7953,-110,406,28.57,254.29,0.820,0.440,20.08
0.560,-0.2348,-0.0,1.8827,564.8,-0.4714,7.7953,-45,390,28.57,257.14,0.870,0.760,20.09
0.580,-0.3038,-0.0,2.5806,774.2,-0.4714,7.7953,-5,531,28.57,260.00,0.720,1.010,20.09
0.600,-0.3038,-0.0,2.5806,774.2,-0.4521,7.7876,16,536,28.57,262.86,0.630,0.870,20.09
0.620,-0.3038,-0.0,2.5806,774.2,-0.4521,7.7876,53,683,28.57,268.57,0.460,0.640,20.07
0.640,-0.1095,-0.0,2.7273,818.2,-0.4208,7.7907,64,721,28.57,268.57,0.280,0.720,20.09
0.660,-0.1095,-0.0,2.7273,818.2,-0.4208,7.7907,20,754,28.57,277.14,0.210,1.060,20.09
0.680,0.1440,-0.0,1.9047,571.4,-0.4208,7.7907,14,815,28.57,280.00,0.230,0.940,20.09
0.700,0.1440,-0.0,1.9047,571.4,-0.3854,7.7846,5,813,31.43,282.86,0.240,0.310,20.09
0.720,0.1440,-0.0,1.9047,571.4,-0.3854,7.7846,2,644,31.43,288.57,0.240,0.420,20.07
0.740,0.3052,-0.0,0.8324,0.0,-0.3631,7.7836,2,626,31.43,291.43,0.240,0.620,20.08
0.760,0.3052,-0.0,0.8324,0.0,-0.3631,7.7836,0,596,31.43,297.14,0.240,0.700,20.08
0.780,0.2893,-0.0,0.1345,0.0,-0.3631,7.7836,0,353,31.43,297.14,0.240,0.530,20.08
0.800,0.2893,-0.0,0.1345,0.0,-0.3631,7.7836,-3,117,31.43,297.14,0.240,0.150,20.09
0.820,0.2893,-0.0,0.1345,0.0,-0.3631,7.7836,-19,70,28.57,297.14,0.310,0.010,20.07
0.840,0.1446,-0.0,0.0672,0.0,-0.3945,7.7806,-27,56,28.57,297.14,0.380,0.030,20.08
0.860,0.1446,-0.0,0.0672,0.0,-0.3945,7.7806,-22,12,28.57,297.14,0.460,0.020,20.07
0.880,0.0075,-0.0,0.4979,0.0,-0.3945,7.7806,-17,4,28.57,297.14,0.490,0.010,20.07
0.900,0.0075,-0.0,0.4979,0.0,-0.4229,7.7843,-2,0,28.57,297.14,0.480,0.020,20.08
0.920,-0.0045,-0.0,0.9854,0.0,-0.4229,7.7843,5,-1,28.57,297.14,0.450,0.040,20.08
0.940,-0.0045,-0.0,0.9854,0.0,-0.4076,7.7856,13,-1,28.57,297.14,0.410,0.040,20.08
0.960,-0.0045,-0.0,0.9854,0.0,-0.4076,7.7856,22,0,28.57,297.14,0.340,0.020,20.06
0.980,0.1008,-0.0,1.0743,322.3,-0.4076,7.7856,23,0,28.57,297.14,0.280,0.020,20.08
1.000,0.1008,-0.0,1.0743,322.3,-0.3788,7.7821,18,0,28.57,297.14,0.250,0.030,20.07
1.020,0.1950,-0.0,0.7711,0.0,-0.3788,7.7821,6,206,31.43,300.00,0.230,0.270,20.07
1.040,0.1950,-0.0,0.7711,0.0,-0.3631,7.7836,3,253,31.43,300.00,0.240,0.290,20.07
1.060,0.1950,-0.0,0.7711,0.0,-0.3631,7.7836,-1,33,31.43,300.00,0.250,0.030,20.07
1.080,0.1927,-0.0,0.4514,0.0,-0.3631,7.7836,-5,10,28.57,300.00,0.260,0.060,20.07
1.100,0.1927,-0.0,0.4514,0.0,-0.3697,7.7862,-8,10,28.57,300.00,0.290,0.060,20.08
1.120,0.1355,-0.0,0.3707,0.0,-0.3697,7.7862,-10,5,28.57,300.00,0.320,0.050,20.08
1.140,0.1355,-0.0,0.3707,0.0,-0.3920,7.7872,-8,0,28.57,300.00,0.340,0.080,20.07
1.160,0.1355,-0.0,0.3707,0.0,-0.3920,7.7872,-4,0,28.57,300.00,0.340,0.070,20.07
1.180,0.0821,-0.0,0.5177,0.0,-0.3920,7.7872,-3,0,28.57,300.00,0.350,0.070,20.09
1.200,0.0821,-0.0,0.5177,0.0,-0.4076,7.7856,0,0,28.57,300.00,0.340,0.070,20.08
1.220,0.0966,-0.0,0.6408,0.0,-0.4076,7.7856,2,0,28.57,300.00,0.330,0.080,20.07
1.240,0.0966,-0.0,0.6408,0.0,-0.4010,7.7831,4,0,28.57,300.00,0.320,0.080,20.07
1.260,0.0966,-0.0,0.6408,0.0,-0.4010,7.7831,4,0,28.57,300.00,0.300,0.070,20.08
1.280,0.1393,-0.0,0.5984,0.0,-0.4010,7.7831,5,0,28.57,300.00,0.290,0.060,20.07
1.300,0.1393,-0.0,0.5984,0.0,-0.3945,7.7806,4,0,28.57,300.00,0.290,0.080,20.07
1.320,0.1729,-0.0,0.5261,0.0,-0.3945,7.7806,1,0,28.57,300.00,0.290,0.070,20.08
1.340,0.1729,-0.0,0.5261,0.0,-0.3854,7.7846,1,0,28.57,300.00,0.290,0.080,20.07
1.360,0.1729,-0.0,0.5261,0.0,-0.3854,7.7846,0,0,28.57,300.00,0.290,0.070,20.08
1.380,0.1556,-0.0,0.5444,0.0,-0.3854,7.7846,0,0,28.57,300.00,0.300,0.070,20.07
1.400,0.1556,-0.0,0.5444,0.0,-0.3920,7.7872,-1,0,28.57,300.00,0.300,0.060,20.07
1.420,0.1209,-0.0,0.5811,0.0,-0.3920,7.7872,-3,0,28.57,300.00,0.310,0.080,20.07
