t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,dt_ms
0.000,-0.4622,-0.0,0.4255,0.0,0.0060,8.1345,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.02
0.020,-0.4622,-0.0,0.4255,0.0,0.0060,8.1345,0,0,0.00,0.00,0.000,0.000,0.00,0.00,39.20
0.040,-0.4530,-0.0,0.3910,0.0,-0.6969,5.4924,0,0,0.00,0.00,0.190,0.020,0.00,0.00,20.10
0.060,-0.4530,-0.0,0.3910,0.0,-0.6969,5.4924,0,0,0.00,0.00,0.150,0.030,0.00,0.00,20.07
0.080,-0.4530,-0.0,0.3910,0.0,-0.6969,5.4924,0,0,0.00,0.00,0.200,0.030,0.00,0.00,20.07
0.100,-0.4530,-0.0,0.3910,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.430,0.020,0.00,0.00,20.09
0.120,-0.4530,-0.0,0.3910,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.450,0.030,0.00,0.00,20.07
0.140,-0.4530,-0.0,0.3910,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.07
0.160,-0.4530,-0.0,0.3910,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.06
0.180,-0.4530,-0.0,0.3910,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.09
0.200,-0.4530,-0.0,0.3910,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.07
0.220,-0.4530,-0.0,0.3910,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.450,0.030,0.00,0.00,20.07
0.240,-0.4530,-0.0,0.3910,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.09
0.260,-0.4530,-0.0,0.3910,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.450,0.030,0.00,0.00,20.07
0.280,-0.4535,-0.0,0.3980,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.460,0.030,0.00,0.00,20.08
0.300,-0.4535,-0.0,0.3980,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.450,0.030,0.00,0.00,20.07
0.320,-0.4535,-0.0,0.3980,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.07
0.340,-0.4535,-0.0,0.3980,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.450,0.030,0.00,0.00,20.08
0.360,-0.4535,-0.0,0.3980,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.450,0.030,0.00,0.00,20.06
0.380,-0.4465,-0.0,0.3985,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.07
0.400,-0.4465,-0.0,0.3985,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.07
0.420,-0.4465,-0.0,0.3985,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.07
0.440,-0.4469,-0.0,0.4055,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.020,0.00,0.00,20.07
0.460,-0.4469,-0.0,0.4055,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.460,0.030,0.00,0.00,20.06
0.480,-0.4539,-0.0,0.4050,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.08
0.500,-0.4539,-0.0,0.4050,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.07
0.520,-0.4539,-0.0,0.4050,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.07
0.540,-0.4539,-0.0,0.4050,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.430,0.030,0.00,0.00,20.09
0.560,-0.4539,-0.0,0.4050,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.06
0.580,-0.4539,-0.0,0.4050,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.07
0.600,-0.4539,-0.0,0.4050,0.0,-0.6958,5.4854,0,0,0.00,0.00,0.440,0.030,0.00,0.00,20.07
